id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint
163640613,25300,25300,25300, 36 months,0.1171,836.83,B,B3,,< 1 year,OWN,0,Verified,44184,Current,n,debt_consolidation,Debt consolidation,963xx,HI,,0,44079,740,744,0,,,3,0,18609,0.61,17,f,23873.22,23873.22,1648.98,1648.98,1426.78,222.2,0,0,0,43881,0,43910,43850,729,725,0,,1,Joint App,55000,36.71,
162734019,10000,10000,10000, 36 months,0.1862,364.65,D,D1,Operations Manager,5 years,MORTGAGE,80000,Source Verified,44184,Current,n,debt_consolidation,Debt consolidation,030xx,NH,18.29,0,43958,660,664,1,76,,10,0,10308,0.775,17,w,9790.52,9790.52,349.13,349.13,209.48,139.65,0,0,0,43881,0,43910,43850,669,665,0,76,1,Individual,,,
164099879,3025,3025,3025, 36 months,0.1695,107.78,C,C4,,n/a,RENT,24000,Not Verified,44184,Current,n,debt_consolidation,Debt consolidation,310xx,GA,19.11,1,43865,700,704,2,14,,8,0,1798,0.127,12,w,2959.95,2959.95,103.51,103.51,65.05,38.46,0,0,0,43881,0,43910,43850,704,700,0,54,1,Individual,,,
164170234,12750,12750,12750, 60 months,0.1695,316.53,C,C4,Office Manager,2 years,RENT,60000,Source Verified,44184,Current,n,debt_consolidation,Debt consolidation,852xx,AZ,28.3,0,43987,705,709,1,,89,15,1,12605,0.57,27,w,12613.56,12613.56,298.52,298.52,136.44,162.08,0,0,0,43881,0,43910,43881,714,710,0,,1,Individual,,,
164130264,23000,23000,23000, 60 months,0.2055,616.42,D,D2,Clean Room Manufacturing Operator ,1 year,MORTGAGE,60000,Source Verified,44184,Current,n,credit_card,Credit card refinancing,088xx,NJ,24.31,0,44048,680,684,1,71,,22,0,13255,0.504,33,w,22777.46,22777.46,577.03,577.03,222.54,354.49,0,0,0,43881,0,43910,43850,689,685,0,71,1,Individual,,,
162772189,20000,20000,20000, 60 months,0.0819,407.35,A,A4,,n/a,MORTGAGE,60000,Verified,44184,Current,n,home_improvement,Home improvement,606xx,IL,13.98,0,36465,795,799,1,,,11,0,735,0.007,22,f,19396.9,19396.9,801.05,801.05,603.1,197.95,0,0,0,43881,407.35,43910,43850,794,790,0,,1,Individual,,,
163648351,35375,35375,35375, 36 months,0.1033,1146.95,B,B1,Financial Advisor,4 years,MORTGAGE,175000,Source Verified,44184,Current,n,debt_consolidation,Debt consolidation,801xx,CO,21.99,0,43864,720,724,1,,,11,0,59065,0.588,23,f,34532.57,34532.57,1116.5,1116.5,842.43,274.07,0,0,0,43881,0,43910,43850,734,730,0,,1,Individual,,,
164095006,35000,35000,35000, 36 months,0.1033,1134.79,B,B1,,n/a,RENT,84000,Not Verified,44184,Current,n,debt_consolidation,Debt consolidation,199xx,DE,22.24,1,33573,690,694,2,12,,20,0,31512,0.363,33,f,34166.5,34166.5,1104.66,1104.66,833.5,271.16,0,0,0,43881,0,43910,43850,694,690,0,,1,Individual,,,
163549870,16000,16000,16000, 36 months,0.1171,529.22,B,B3,Vice President ,3 years,RENT,80004,Not Verified,44184,Current,n,debt_consolidation,Debt consolidation,071xx,NJ,15.85,2,43901,665,669,0,14,,13,0,22379,0.583,14,f,15626.91,15626.91,513.61,513.61,373.09,140.52,0,0,0,43881,0,43910,43850,689,685,1,14,1,Individual,,,
163162710,16000,16000,16000, 36 months,0.0646,490.1,A,A1,,n/a,MORTGAGE,36500,Verified,44184,Late (16-30 days),n,debt_consolidation,Debt consolidation,480xx,MI,21.93,0,30987,770,774,1,71,,12,0,9755,0.151,25,f,16000,16000,0,0,0,0,0,0,0,,0,43910,43850,774,770,0,,1,Individual,,,
163989205,21275,21275,21275, 36 months,0.1774,766.38,C,C5,Aircraft Mechanic,4 years,MORTGAGE,65000,Verified,44184,Current,n,debt_consolidation,Debt consolidation,390xx,MS,37.17,0,43896,675,679,1,47,99,15,1,5459,0.728,30,f,20823.14,20823.14,734.93,734.93,451.86,283.07,0,0,0,43881,0,43910,43850,669,665,0,47,1,Joint App,205000,11.78,Source Verified
163297419,10000,10000,10000, 36 months,0.1774,360.23,C,C5,Ramp Agent,10+ years,RENT,54000,Source Verified,44184,Current,n,debt_consolidation,Debt consolidation,607xx,IL,21.62,3,34486,685,689,1,19,,9,0,8608,0.43,16,f,9891.09,9891.09,345.45,345.45,108.91,236.54,0,0,0,43881,360.23,43910,43850,674,670,0,19,1,Individual,,,
164186587,5000,5000,5000, 36 months,0.1774,180.12,C,C5,administrative assistant ,2 years,RENT,33200,Not Verified,44184,Current,n,debt_consolidation,Debt consolidation,207xx,MD,16.05,0,43836,660,664,0,60,,7,0,7185,0.933,8,w,4893.8,4893.8,172.73,172.73,106.2,66.53,0,0,0,43881,0,43910,43850,664,660,0,60,1,Individual,,,
162518917,30000,30000,29975, 36 months,0.0881,951.35,A,A5,CFO/COO,2 years,RENT,250000,Verified,44184,Current,n,credit_card,Credit card refinancing,926xx,CA,16.53,0,43868,785,789,1,,,15,0,11224,0.241,21,f,29268.9,29244.51,929.33,928.56,731.1,198.23,0,0,0,43881,0,43910,43850,744,740,0,,1,Individual,,,
164168374,35000,35000,35000, 36 months,0.1612,1232.58,C,C3,Director of Manufacturing,3 years,RENT,270000,Source Verified,44184,Current,n,credit_card,Credit card refinancing,900xx,CA,13.26,0,44056,660,664,0,,,9,0,58778,0.972,11,w,34237.59,34237.59,1185.56,1185.56,762.41,423.15,0,0,0,43881,0,43910,43850,694,690,0,,1,Individual,,,
163873630,20000,20000,20000, 60 months,0.1524,478.33,C,C2,Engineer,5 years,MORTGAGE,91000,Source Verified,44184,Current,n,credit_card,Credit card refinancing,590xx,MT,36.86,0,44050,730,734,0,,,14,0,14487,0.256,34,w,19775.67,19775.67,452.93,452.93,224.33,228.6,0,0,0,43881,0,43910,43850,734,730,0,,1,Individual,,,
164177860,5300,5300,5300, 36 months,0.2055,198.46,D,D2,mechanic,3 years,MORTGAGE,32000,Source Verified,44184,Current,n,debt_consolidation,Debt consolidation,327xx,FL,21.64,3,44048,660,664,0,7,,7,0,3037,0.584,16,w,5192.3,5192.3,189.38,189.38,107.7,81.68,0,0,0,43881,0,43910,43850,684,680,0,14,1,Individual,,,
163591215,16500,16500,16500, 36 months,0.1524,573.92,C,C2," Cashier  ,bakery wraper",2 years,RENT,50000,Not Verified,44184,Current,n,credit_card,Credit card refinancing,110xx,NY,31.69,0,43993,690,694,0,,,12,0,16743,0.545,20,f,14117.85,14117.85,2552.96,2552.96,2382.15,170.81,0,0,0,43881,0,43910,43850,709,705,0,,1,Individual,,,
163941745,12000,12000,12000, 36 months,0.1524,417.4,C,C2,independent contractor /pro mover/driver,10+ years,RENT,300000,Source Verified,44184,Current,n,credit_card,Credit card refinancing,907xx,CA,1.06,0,43906,675,679,0,,,6,0,9779,0.423,6,f,11811.2,11811.2,402.16,402.16,188.8,213.36,0,0,0,43881,417.4,43910,43850,689,685,0,,1,Individual,,,
164066980,15000,15000,15000, 36 months,0.1102,491.23,B,B2,,< 1 year,OWN,90000,Not Verified,44184,Current,n,debt_consolidation,Debt consolidation,984xx,WA,7.3,2,35034,680,684,0,14,,19,0,11519,0.281,35,f,14646.52,14646.52,477.45,477.45,353.48,123.97,0,0,0,43881,0,43910,43881,709,705,0,14,1,Individual,,,
164190449,15000,15000,15000, 60 months,0.2305,423.29,D,D3,Social Worker,7 years,MORTGAGE,63800,Source Verified,44184,Fully Paid,n,credit_card,Credit card refinancing,666xx,KS,18.91,2,44047,660,664,0,18,,5,0,14275,0.696,54,w,0,0,15134.46083,15134.46,15000,134.46,0,0,0,43881,163.27,,43850,669,665,0,,1,Individual,,,
163068892,10625,10625,10625, 60 months,0.1774,268.31,C,C5,Registered Nurse,8 years,RENT,82000,Source Verified,44184,Current,n,credit_card,Credit card refinancing,920xx,CA,18.3,0,43836,685,689,2,63,,8,0,23123,0.4,32,f,10513.76,10513.76,252.6,252.6,111.24,141.36,0,0,0,43881,0,43910,43850,689,685,0,63,1,Individual,,,
164168870,3600,3600,3600, 36 months,0.0756,112.09,A,A3,Rental Sales Associate ,1 year,RENT,34000,Source Verified,44184,Current,n,credit_card,Credit card refinancing,953xx,CA,14.83,0,43990,735,739,0,,,3,0,8501,0.708,5,f,3510.59,3510.59,109.82,109.82,89.41,20.41,0,0,0,43881,0,43910,43850,739,735,0,,1,Individual,,,
164172308,6500,6500,6500, 36 months,0.124,217.14,B,B4,Driver,10+ years,MORTGAGE,71400,Not Verified,44184,Current,n,other,Other,026xx,MA,4.97,0,34547,730,734,1,,,4,0,3295,0.701,9,f,6350.03,6350.03,210.42,210.42,149.97,60.45,0,0,0,43881,0,43910,43850,734,730,0,,1,Joint App,104400,7.92,Not Verified
164171717,25000,25000,25000, 36 months,0.2305,968.4,D,D3,"Manager, clinical operations",2 years,RENT,139500,Source Verified,44184,Current,n,debt_consolidation,Debt consolidation,371xx,TN,15.59,0,31837,665,669,0,35,69,10,1,6811,0.467,11,f,23867.41,23867.41,1888.78,1888.78,1132.59,756.19,0,0,0,43881,968.4,43910,43850,674,670,2,65,1,Individual,,,
164173227,10500,10500,10500, 36 months,0.2565,421.1,D,D4,Commercial Security Account Consultant ,1 year,MORTGAGE,140000,Source Verified,44184,Current,n,debt_consolidation,Debt consolidation,300xx,GA,16.36,0,43893,675,679,0,,113,12,1,38114,0.653,22,f,10303.34,10303.34,398.66,398.66,196.66,202,0,0,0,43881,0,43910,43850,679,675,0,,1,Individual,,,
164168394,32000,32000,32000, 60 months,0.1308,729.41,B,B5,Service Technician ,9 years,MORTGAGE,150000,Source Verified,44184,Current,n,debt_consolidation,Debt consolidation,117xx,NY,21.62,0,44141,680,684,0,,,18,0,31864,0.483,33,f,31619.39,31619.39,694.53,694.53,380.61,313.92,0,0,0,43881,0,43910,43881,814,810,0,,1,Individual,,,
164100918,25000,25000,25000, 60 months,0.143,585.61,C,C1,,n/a,MORTGAGE,30000,Not Verified,44184,Current,n,debt_consolidation,Debt consolidation,330xx,FL,33.16,0,36526,805,809,0,,,19,0,5569,0.099,29,f,24712.31,24712.31,555.82,555.82,287.69,268.13,0,0,0,43881,0,43910,43850,819,815,0,,1,Joint App,80000,19,Not Verified
164079902,3600,3600,3600, 36 months,0.0756,112.09,A,A3,Driver,10+ years,RENT,70000,Source Verified,44184,Current,n,debt_consolidation,Debt consolidation,078xx,NJ,8.26,0,43990,760,764,1,,,12,0,1616,0.03,15,f,3510.59,3510.59,109.82,109.82,89.41,20.41,0,0,0,43881,0,43910,43850,794,790,0,,1,Individual,,,
163080740,31900,31900,31900, 60 months,0.143,747.23,C,C1,DRIVER,4 years,MORTGAGE,47000,Verified,44184,Current,n,other,Other,349xx,FL,15.63,0,43959,690,694,0,,102,4,1,4980,0.479,18,w,31532.91,31532.91,709.22,709.22,367.09,342.13,0,0,0,43881,0,43910,43850,694,690,0,,1,Individual,,,
164162040,13050,13050,13050, 36 months,0.0702,403.07,A,A2,Well Planner,3 years,RENT,128000,Source Verified,44184,Current,n,debt_consolidation,Debt consolidation,750xx,TX,13.14,0,43836,735,739,1,,,10,0,17724,0.264,22,f,12723.27,12723.27,395.44,395.44,326.73,68.71,0,0,0,43881,0,43910,43850,734,730,0,,1,Individual,,,
164024828,19000,19000,19000, 60 months,0.2305,536.17,D,D3,Finance Manager,10+ years,MORTGAGE,73000,Not Verified,44184,Current,n,debt_consolidation,Debt consolidation,237xx,VA,19.96,0,43927,680,684,0,27,,11,0,12625,0.59,12,f,18828.79,18828.79,499.67,499.67,171.21,328.46,0,0,0,43881,0,43910,43850,679,675,0,,1,Individual,,,
162945110,17000,17000,17000, 60 months,0.1033,363.97,B,B1,independent contractor,10+ years,MORTGAGE,80000,Source Verified,44184,Current,n,debt_consolidation,Debt consolidation,750xx,TX,15.75,2,44048,720,724,0,8,,7,0,6500,0.404,8,w,16782.37,16782.37,349.34,349.34,217.63,131.71,0,0,0,43881,0,43910,43850,704,700,0,,1,Individual,,,
164001685,10625,10625,10625, 60 months,0.1308,242.19,B,B5,Research Assistant,3 years,RENT,40000,Source Verified,44184,Current,n,debt_consolidation,Debt consolidation,895xx,NV,14.49,0,44077,695,699,0,,109,7,1,9701,0.622,25,f,10506.34,10506.34,230.61,230.61,118.66,111.95,0,0,0,43881,242.19,43910,43850,719,715,0,,1,Individual,,,
164163743,35000,35000,35000, 60 months,0.2055,938.03,D,D2,Professor,10+ years,RENT,230000,Source Verified,44184,Current,n,medical,Medical expenses,981xx,WA,11.76,0,33025,700,704,0,,,16,0,33878,0.793,26,f,34961.03,34961.03,878.09,878.09,38.97,839.12,0,0,0,43881,938.03,43910,43850,704,700,0,,1,Individual,,,
163230909,12750,12750,12750, 60 months,0.1308,290.63,B,B5,Occupational Therapist,1 year,MORTGAGE,75000,Source Verified,44184,Current,n,other,Other,454xx,OH,17.54,0,43833,690,694,0,69,,16,0,8638,0.275,41,f,12598.34,12598.34,276.73,276.73,151.66,125.08,0,0,0,43881,0,43910,43850,694,690,0,69,1,Individual,,,
164147815,11000,11000,11000, 60 months,0.0819,224.05,A,A4,Principal CyberSecurity Advisor,5 years,MORTGAGE,115000,Source Verified,44184,Current,n,credit_card,Credit card refinancing,981xx,WA,26.9,0,35096,735,739,0,67,,22,0,114494,0.324,42,w,10655.22,10655.22,440.59,440.59,344.78,95.81,0,0,0,43881,224.05,43910,43850,739,735,0,,1,Individual,,,
163055269,20000,20000,20000, 36 months,0.1171,661.52,B,B3,Chief Estimator,3 years,MORTGAGE,225000,Source Verified,44184,Current,n,credit_card,Credit card refinancing,926xx,CA,7.02,0,44079,760,764,0,,,7,0,9339,0.361,26,f,19533.65,19533.65,642,642,466.35,175.65,0,0,0,43881,0,43910,43850,774,770,0,,1,Individual,,,
163938889,40000,40000,39975, 60 months,0.1695,993.03,C,C4,"AVP, UW Process Improvement",10+ years,MORTGAGE,250000,Source Verified,44184,Current,n,home_improvement,Home improvement,913xx,CA,18.77,0,44109,695,699,1,,,19,0,92808,0.649,38,f,38877.05,38852.75,1929.56,1928.35,1122.95,806.61,0,0,0,43881,993.03,43910,43850,699,695,0,,1,Individual,,,
164168053,35000,35000,34975, 60 months,0.1862,900.62,D,D1,General Manager,10+ years,RENT,187000,Not Verified,44184,Current,n,debt_consolidation,Debt consolidation,917xx,CA,7.32,0,36708,680,684,0,,,25,0,44048,0.435,30,f,34642.46,34617.72,846.31,845.71,357.54,488.77,0,0,0,43881,0,43910,43850,684,680,0,,1,Individual,,,
162770447,10450,10450,10450, 36 months,0.0646,320.1,A,A1,Superintendent ,< 1 year,RENT,100000,Not Verified,44184,Current,n,debt_consolidation,Debt consolidation,765xx,TX,14.57,0,44049,745,749,1,,,10,0,8564,0.206,18,f,10186.16,10186.16,314.47,314.47,263.84,50.63,0,0,0,43881,0,43910,43850,749,745,0,,1,Individual,,,
163974578,37500,37500,36500, 36 months,0.0756,1167.52,A,A3,Director,< 1 year,OWN,320000,Source Verified,44184,Current,n,credit_card,Credit card refinancing,070xx,NJ,19.97,0,43834,735,739,0,80,,11,0,30320,0.628,24,f,36576.61,35601.23,1143.9,1113.4,923.39,220.5,0,0,0,43881,1167.52,43910,43850,739,735,0,,1,Individual,,,
164178130,33000,33000,32975, 60 months,0.1308,752.21,B,B5,CLAIMS REP,10+ years,RENT,104000,Source Verified,44184,Current,n,credit_card,Credit card refinancing,723xx,AR,10.11,0,43923,730,734,0,60,,3,0,593,0.032,19,f,32607.49,32582.79,716.24,715.7,392.51,323.73,0,0,0,43881,0,43910,43850,734,730,0,,1,Individual,,,
163618611,6500,6500,6500, 36 months,0.1612,228.91,C,C3,Maint supervisor,10+ years,MORTGAGE,68272,Source Verified,44184,Current,n,other,Other,820xx,WY,29.39,0,43963,675,679,0,,106,11,1,20124,0.786,17,f,6358.41,6358.41,220.18,220.18,141.59,78.59,0,0,0,43881,0,43910,43850,684,680,0,,1,Individual,,,
163912496,12800,12800,12800, 60 months,0.1524,306.13,C,C2,Touch-Up,5 years,RENT,35000,Source Verified,44184,Current,n,debt_consolidation,Debt consolidation,750xx,TX,25.41,0,43842,705,709,0,,,6,0,11290,0.697,10,w,12334.53,12334.53,609.87,609.87,465.47,144.4,0,0,0,43881,306.13,43910,43850,704,700,0,,1,Individual,,,
164149356,25000,25000,25000, 60 months,0.0881,516.66,A,A5,Office manager ,3 years,MORTGAGE,87000,Not Verified,44184,Current,n,credit_card,Credit card refinancing,322xx,FL,11.65,0,43842,675,679,0,,,8,0,24546,0.718,11,w,24666.88,24666.88,498.31,498.31,333.12,165.19,0,0,0,43881,0,43910,43850,694,690,0,,1,Individual,,,
163685940,32000,32000,32000, 60 months,0.1102,696.08,B,B2,Maintenance Manager,1 year,MORTGAGE,58000,Not Verified,44184,Current,n,debt_consolidation,Debt consolidation,762xx,TX,49.7,0,43929,725,729,2,78,,19,0,12598,0.185,40,f,31597.79,31597.79,666.69,666.69,402.21,264.48,0,0,0,43881,0,43910,43850,724,720,0,,1,Joint App,114000,27.56,Not Verified
164179544,7350,7350,7350, 36 months,0.0756,228.84,A,A3,machine operator,1 year,MORTGAGE,50000,Source Verified,44184,Current,n,debt_consolidation,Debt consolidation,281xx,NC,24.94,0,43924,735,739,1,71,,16,0,6871,0.177,33,w,7167.47,7167.47,224.21,224.21,182.53,41.67,0,0,0,43881,0,43910,43850,744,740,0,71,1,Individual,,,
